"dist","n","method","target","coverage_uncond","coverage_cond","success_rate","valid_ci_rate","mean_width","failure_rate"
"contam",50,"normal","theta4",0.562,0.562,1,1,16.1249843654714,0
"contam",50,"percentile","theta4",0.5638,0.5638,1,1,12.7292380141205,0
"contam",50,"studentized","theta4",0.8776,0.8776,1,1,5554.19543541916,0
"normal",50,"normal","theta4",0.8924,0.8924,1,1,1.79410472266553,0
"normal",50,"percentile","theta4",0.8534,0.8534,1,1,1.37888956011869,0
"normal",50,"studentized","theta4",0.9322,0.9322,1,1,2.2964901683153,0
"t10",50,"normal","theta4",0.8098,0.8098,1,1,2.55094173842716,0
"t10",50,"percentile","theta4",0.7808,0.7808,1,1,1.97165779909829,0
"t10",50,"studentized","theta4",0.8978,0.8978,1,1,6.27011475010054,0
"t12",50,"normal","theta4",0.8396,0.8396,1,1,2.38851466390595,0
"t12",50,"percentile","theta4",0.8094,0.8094,1,1,1.84646473341054,0
"t12",50,"studentized","theta4",0.9126,0.9126,1,1,4.74046434842071,0
"t20",50,"normal","theta4",0.861,0.861,1,1,2.11728582374074,0
"t20",50,"percentile","theta4",0.8244,0.8244,1,1,1.63371567750249,0
"t20",50,"studentized","theta4",0.9296,0.9296,1,1,3.46884221390254,0
"t3",50,"normal","theta4",NA,NA,NA,NA,NA,0
"t3",50,"percentile","theta4",NA,NA,NA,NA,NA,0
"t3",50,"studentized","theta4",NA,NA,NA,NA,NA,0
"t4",50,"normal","theta4",NA,NA,NA,NA,NA,0
"t4",50,"percentile","theta4",NA,NA,NA,NA,NA,0
"t4",50,"studentized","theta4",NA,NA,NA,NA,NA,0
"t5",50,"normal","theta4",0.5186,0.5186,1,1,27.766494328154,0
"t5",50,"percentile","theta4",0.5016,0.5016,1,1,20.2196459048598,0
"t5",50,"studentized","theta4",0.7402,0.7402,1,1,862037.424030267,0
"t6",50,"normal","theta4",0.6624,0.6624,1,1,4.03382207165385,0
"t6",50,"percentile","theta4",0.636,0.636,1,1,3.09441445194028,0
"t6",50,"studentized","theta4",0.8234,0.8234,1,1,68.602940876767,0
"t8",50,"normal","theta4",0.7718,0.7718,1,1,2.95245854078262,0
"t8",50,"percentile","theta4",0.7454,0.7454,1,1,2.28335747484374,0
"t8",50,"studentized","theta4",0.8798,0.8798,1,1,22.9183721146937,0
"contam",100,"normal","theta4",0.6706,0.6706,1,1,13.6812342163752,0
"contam",100,"percentile","theta4",0.6752,0.6752,1,1,11.4144583658418,0
"contam",100,"studentized","theta4",0.9182,0.9182,1,1,376.889791180545,0
"normal",100,"normal","theta4",0.9344,0.9344,1,1,1.37079966544091,0
"normal",100,"percentile","theta4",0.8948,0.8948,1,1,1.06306341977195,0
"normal",100,"studentized","theta4",0.9384,0.9384,1,1,1.41154463734937,0
"t10",100,"normal","theta4",0.8634,0.8634,1,1,2.02520700371447,0
"t10",100,"percentile","theta4",0.8292,0.8292,1,1,1.59519816404227,0
"t10",100,"studentized","theta4",0.9096,0.9096,1,1,4.06531648001854,0
"t12",100,"normal","theta4",0.875,0.875,1,1,1.83459610598892,0
"t12",100,"percentile","theta4",0.8444,0.8444,1,1,1.4405866254141,0
"t12",100,"studentized","theta4",0.9152,0.9152,1,1,2.69711858311456,0
"t20",100,"normal","theta4",0.9062,0.9062,1,1,1.61997756653008,0
"t20",100,"percentile","theta4",0.8718,0.8718,1,1,1.26633013552587,0
"t20",100,"studentized","theta4",0.9228,0.9228,1,1,1.97983051385413,0
"t3",100,"normal","theta4",NA,NA,NA,NA,NA,0
"t3",100,"percentile","theta4",NA,NA,NA,NA,NA,0
"t3",100,"studentized","theta4",NA,NA,NA,NA,NA,0
"t4",100,"normal","theta4",NA,NA,NA,NA,NA,0
"t4",100,"percentile","theta4",NA,NA,NA,NA,NA,0
"t4",100,"studentized","theta4",NA,NA,NA,NA,NA,0
"t5",100,"normal","theta4",0.552,0.552,1,1,4.15611620686175,0
"t5",100,"percentile","theta4",0.5294,0.5294,1,1,3.26351771119161,0
