"df","method","coverage","mcse","nominal","lower_mc","upper_mc"
10,"Normal-theory",0.8608,0.0048953725088087,0.95,0.851205069882735,0.870394930117265
10,"Percentile bootstrap",0.8296,0.0053172143082633,0.95,0.819178259955804,0.840021740044196
10,"Studentized bootstrap",0.9078,0.00409143397844814,0.95,0.899780789402242,0.915819210597758
12,"Normal-theory",0.8826,0.00455230139599741,0.95,0.873677489263845,0.891522510736155
12,"Percentile bootstrap",0.8448,0.00512079993750976,0.95,0.834763232122481,0.854836767877519
12,"Studentized bootstrap",0.9134,0.0039774474226569,0.95,0.905604203051593,0.921195796948407
20,"Normal-theory",0.9122,0.00400227835113951,0.95,0.904355534431767,0.920044465568233
20,"Percentile bootstrap",0.8714,0.0047341744792519,0.95,0.862121018020666,0.880678981979334
20,"Studentized bootstrap",0.9288,0.00363677219523027,0.95,0.921671926497349,0.935928073502651
5,"Normal-theory",0.5512,0.00703389735495195,0.95,0.537413561184294,0.564986438815706
5,"Percentile bootstrap",0.5274,0.00706044247905186,0.95,0.513561532741058,0.541238467258942
5,"Studentized bootstrap",0.724,0.00632177190350933,0.95,0.711609327069122,0.736390672930878
6,"Normal-theory",0.7142,0.00638934049804829,0.95,0.701676892623825,0.726723107376175
6,"Percentile bootstrap",0.68,0.00659696900098826,0.95,0.667069940758063,0.692930059241937
6,"Studentized bootstrap",0.8374,0.00521845264422319,0.95,0.827171832817323,0.847628167182678
8,"Normal-theory",0.831,0.00529979244876627,0.95,0.820612406800418,0.841387593199582
8,"Percentile bootstrap",0.797,0.00568842684755636,0.95,0.78585068337879,0.80814931662121
8,"Studentized bootstrap",0.8948,0.00433896208787309,0.95,0.886295634307769,0.903304365692231
